証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
1721,コムシスホールディングス株式会社,オアシス　マネジメント　カンパニー　リミテッド（Oasis Management Company Ltd.）,6.32,26/03: 5.61% → 26/05: 6.32%,提出者は、発行者におけるコーポレートガバナンスの改善及び発行者の企業価値と株主価値の保護、向上を目的として、金融商品取引法施行令（以下「施行令」という。）第14条の8の2第1項第4号、第5号、第10号、及び第12号（株券等の大量保有の状況の開示に関する内閣府令（以下「大量保有府令」という。）第16条第1号及び第4号）に関する事項について、発行者に対して提案を行っている。提出者は、発行者におけるコーポレートガバナンスの改善及び発行者の企業価値と株主価値の保護、向上を目的として、今後12か月の間に、施行令第14条の8の2第1項第1号、第2号、第3号、第4号、第5号、第7号、第8号、第10号及び第12号（株券等の大量保有の状況の開示に関する内閣府令第16条第1号及び第4号）に関する事項について、発行者に対して提案を行う予定である。提出者は令和8年5月1日時点において、ポートフォリオ投資の一環として、市場内外の取引を通じて発行者の普通株式の株券等保有割合を100分の5を超える割合増加させる行為（以下「5%超取得行為」という。）を予定している。ただし、5%超取得行為は、発行者の普通株式の市場価格が割安と判断される水準にあること及びその他の条件に左右され、それらの条件を勘案して行う予定である。なお、取得価格、数量、時期などの具体的な条件については引き続き検討中である。5%超取得行為の実行には当局への届出又は当局による承認が必要となる場合がある。5%超取得行為は令和8年5月1日から3か月以内に行うことを予定しているが、上述の要因により当該3か月の期間以降に行われる可能性もある。,B:新規株主提案,2,6.32,1,26/03: 5.61% → 26/05: 6.32%
1721,コムシスホールディングス株式会社,アモーヴァ・アセットマネジメント株式会社,5.11,25/09: 4.79% → 26/03: 4.76% → 26/04: 5.41% → 26/07: 5.11%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,B:新規株主提案,4,8.09,2,25/09: 7.05% → 26/03: 8.05% → 26/04: 9.48% → 26/07: 8.09%
1721,コムシスホールディングス株式会社,大和アセットマネジメント株式会社,5.08,25/04: 5.08%,証券投資信託の財産及び投資一任契約による顧客資金として保有,B:新規株主提案,1,5.08,1,25/04: 5.08%
1721,コムシスホールディングス株式会社,シルチェスター・インターナショナル・インベスターズ・エルエルピー (Silchester International Investors LLP),4.68,24/02: 8.11% → 24/04: 7.09% → 25/03: 6.09% → 25/03: 5.73% → 25/05: 4.68%,提出者は、発行者に対して増配、自己株式の買入の頻度又は総量、金庫株消却その他資本政策の変更を要求することがある。また、(i)重要な資産の処分又は取得、(ii)借入又は転換社債の発行、(iii)取締役又は重要な使用人の選任又は解任、(iv)株式譲渡、(v)会社分割又は合併、(vi)株式交換、又は (vii)事業の譲渡又は譲受に関して、発行者、提出者若しくは他の株主が提案した議案に対して、反対票を投ずることも、賛成票を投ずることもある。提出者は、その顧客の為に、株式を追加取得することも、保有株式の全て又は一部を売却することもある。,B:新規株主提案,5,4.68,1,24/02: 8.11% → 24/04: 7.09% → 25/03: 6.09% → 25/03: 5.73% → 25/05: 4.68%
1721,コムシスホールディングス株式会社,日興アセットマネジメント株式会社,4.60,24/06: 4.60%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,B:新規株主提案,1,6.90,2,24/06: 6.90%
1721,コムシスホールディングス株式会社,三菱ＵＦＪアセットマネジメント株式会社,3.04,26/04: 3.04% → 26/04: 3.04%,純投資,B:新規株主提案,2,5.07,3,26/04: 5.07% → 26/04: 5.07%
1721,コムシスホールディングス株式会社,三井住友トラスト・アセットマネジメント株式会社,2.98,24/06: 2.31% → 25/09: 2.26% → 26/03: 3.29% → 26/04: 4.07% → 26/07: 2.98%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,B:新規株主提案,5,8.09,2,24/06: 6.90% → 25/09: 7.05% → 26/03: 8.05% → 26/04: 9.48% → 26/07: 8.09%
1721,コムシスホールディングス株式会社,三菱ＵＦＪ信託銀行株式会社,1.88,26/04: 1.88% → 26/04: 1.88%,純投資,B:新規株主提案,2,5.07,3,26/04: 5.07% → 26/04: 5.07%
1721,コムシスホールディングス株式会社,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,0.39,25/09: 0.75% → 25/09: -0.33% → 26/01: 0.32% → 26/04: 0.39%,証券業務に係わる商品在庫として保有している。,B:新規株主提案,4,11.38,2,25/09: 10.45% → 25/09: 10.47% → 26/01: 10.03% → 26/04: 11.38%
1721,コムシスホールディングス株式会社,三菱ＵＦＪモルガン・スタンレー証券株式会社,0.15,26/04: 0.15% → 26/04: 0.15%,商品有価証券等として保有するもの,B:新規株主提案,2,5.07,3,26/04: 5.07% → 26/04: 5.07%
1721,コムシスホールディングス株式会社,野村證券株式会社,0.09,25/09: 0.04% → 25/09: 1.05% → 26/01: 0.09%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,B:新規株主提案,3,10.03,2,25/09: 10.45% → 25/09: 10.47% → 26/01: 10.03%
1786,オリエンタル白石株式会社,伊藤忠商事株式会社,20.27,24/08: 14.90% → 24/11: 15.99% → 25/04: 17.07% → 26/06: 18.15% → 26/07: 19.21% → 26/08: 20.27%,取引関係強化の為,A:賛成率低下,6,20.27,1,24/08: 14.90% → 24/11: 15.99% → 25/04: 17.07% → 26/06: 18.15% → 26/07: 19.21% → 26/08: 20.27%
1786,オリエンタル白石株式会社,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー(Effissimo Capital Management Pte. Ltd.),11.85,24/01: 9.76% → 25/08: 10.85% → 26/02: 11.85%,"純投資（ただし、うち16,442,800株については投資一任契約に基づく顧客資産運用のため）",A:賛成率低下,3,11.85,1,24/01: 9.76% → 25/08: 10.85% → 26/02: 11.85%
1786,オリエンタル白石株式会社,アセットマネジメントOne株式会社,6.00,24/09: 5.00% → 26/01: 6.00%,投資信託または投資一任契約に基づき投資権限を有するもの。,A:賛成率低下,2,6.00,1,24/09: 5.11% → 26/01: 6.00%
1786,オリエンタル白石株式会社,野村アセットマネジメント株式会社,3.76,26/04: 4.00% → 26/06: 3.17% → 26/07: 3.76%,信託財産の運用として保有している。,A:賛成率低下,3,5.04,2,26/04: 5.06% → 26/06: 3.46% → 26/07: 5.04%
1786,オリエンタル白石株式会社,野村證券株式会社,1.28,26/04: 1.07% → 26/06: 0.00% → 26/07: 1.28%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,A:賛成率低下,3,5.04,2,26/04: 5.06% → 26/06: 3.46% → 26/07: 5.04%
1786,オリエンタル白石株式会社,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,0.29,26/06: 0.29%,証券業務に係わる商品在庫として保有している。,A:賛成率低下,1,3.46,3,26/06: 3.46%
1786,オリエンタル白石株式会社,みずほ証券 株式会社,0.08,24/09: 0.12% → 26/01: 0.08%,ディーリング(短期売買)目的で保有するもの。,A:賛成率低下,2,6.00,1,24/09: 5.11% → 26/01: 6.00%
1803,清水建設株式会社,清水地所株式会社,11.54,25/02: 11.54%,関係強化,A:賛成率低下,1,11.54,1,25/02: 11.54%
1803,清水建設株式会社,社会福祉法人清水基金,5.20,24/07: 5.20% → 24/08: 5.20%,助成原資（助成事業を行うための原資）,A:賛成率低下,2,5.20,1,24/07: 5.20% → 24/08: 5.20%
1803,清水建設株式会社,野村アセットマネジメント株式会社,3.77,24/06: 3.76% → 24/09: 3.77%,信託財産の運用として保有している。,A:賛成率低下,2,3.88,3,24/06: 5.07% → 24/09: 3.88%
1803,清水建設株式会社,ブラックロック・ジャパン株式会社,1.45,24/06: 1.59% → 25/09: 1.62% → 26/03: 1.45%,純投資（投資一任契約に基づく顧客の資産運用および投資信託約款に基づく資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,ブラックロック・ファンド・アドバイザーズ(BlackRock Fund Advisors),1.43,24/06: 0.78% → 25/09: 0.90% → 26/03: 1.43%,純投資（投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
1803,清水建設株式会社,"ブラックロック・インスティテューショナル・トラスト・カンパニー、エヌ．エイ．(BlackRock Institutional Trust Company, N.A.)",1.15,24/06: 0.52% → 25/09: 1.15% → 26/03: 1.15%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下,3,6.22,11,24/06: 3.42% → 25/09: 5.02% → 26/03: 6.22%
