証券コード,企業名,保有者名,最新保有割合(%),保有割合推移,保有目的,トリガー条件,報告書件数,グループ合算(%),共同保有者数,グループ合算推移
3661,株式会社エムアップホールディングス,JPモルガン証券株式会社,3.54,26/04: 4.58% → 26/05: 3.54%,証券業務を営む上で、本件株式に投資している。,A:賛成率低下 + C:会社提案否決,2,3.68,3,26/04: 5.11% → 26/05: 3.68%
3661,株式会社エムアップホールディングス,ニュートン・インベストメント・マネジメント・ジャパン株式会社,3.38,24/05: 8.08% → 25/03: 6.74% → 25/04: 5.19% → 25/07: 3.38%,投資一任契約による顧客の資産運用,A:賛成率低下 + C:会社提案否決,4,3.38,1,24/05: 8.08% → 25/03: 6.74% → 25/04: 5.19% → 25/07: 3.38%
3661,株式会社エムアップホールディングス,日興アセットマネジメント株式会社,3.34,25/07: 3.34%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,5.02,2,25/07: 5.02%
3661,株式会社エムアップホールディングス,野村アセットマネジメント株式会社,3.10,24/08: 3.11% → 24/12: 3.10%,信託財産の運用として保有している。,A:賛成率低下 + C:会社提案否決,2,4.17,2,24/08: 5.18% → 24/12: 4.17%
3661,株式会社エムアップホールディングス,アモーヴァ・アセットマネジメント株式会社,2.60,25/09: 2.86% → 25/10: 3.67% → 25/11: 4.69% → 26/06: 4.21% → 26/07: 2.60%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,5,4.39,2,25/09: 4.50% → 25/10: 5.99% → 25/11: 7.08% → 26/06: 6.04% → 26/07: 4.39%
3661,株式会社エムアップホールディングス,モルガン・スタンレーＭＵＦＧ証券株式会社,2.33,26/06: 3.04% → 26/07: 2.33%,証券業務等にかかる保有,A:賛成率低下 + C:会社提案否決,2,4.49,4,26/06: 5.35% → 26/07: 4.49%
3661,株式会社エムアップホールディングス,エフエムアール エルエルシー（FMR LLC）,2.15,25/06: 5.07% → 26/03: 2.15% → 26/06: 5.07% → 26/06: 2.15%,顧客の財産を信託証書および契約等に基づき運用するために保有。しかしながら、当該保有証券の名義人は弊社ではなく、顧客の選択した銀行（カストディアンバンク）等になります。,A:賛成率低下 + C:会社提案否決,4,2.15,1,25/06: 5.07% → 26/03: 2.15% → 26/06: 5.07% → 26/06: 2.15%
3661,株式会社エムアップホールディングス,フィデリティ投信株式会社,2.04,24/01: 8.18% → 24/11: 7.09% → 25/02: 5.92% → 25/04: 4.88% → 25/07: 5.34% → 25/11: 4.22% → 26/01: 5.10% → 26/03: 6.13% → 26/06: 2.04%,顧客の財産を投資信託約款および投資一任契約等に基づき運用するために保有。しかしながら、当該保有証券の名義人は弊社ではなく、顧客の選択した銀行等（カストディアンバンク又は信託銀行等）になります。,A:賛成率低下 + C:会社提案否決,9,2.04,1,24/01: 8.18% → 24/11: 7.09% → 25/02: 5.92% → 25/04: 4.88% → 25/07: 5.34% → 25/11: 4.22% → 26/01: 5.10% → 26/03: 6.13% → 26/06: 2.04%
3661,株式会社エムアップホールディングス,三井住友トラスト・アセットマネジメント株式会社,1.79,25/07: 1.68% → 25/09: 1.65% → 25/10: 2.32% → 25/11: 2.39% → 26/06: 1.83% → 26/07: 1.79%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下 + C:会社提案否決,6,4.39,2,25/07: 5.02% → 25/09: 4.50% → 25/10: 5.99% → 25/11: 7.08% → 26/06: 6.04% → 26/07: 4.39%
3661,株式会社エムアップホールディングス,モルガン・スタンレー・キャピタル・サービセズ・エルエルシー(Morgan Stanley Capital Services LLC),1.38,26/06: 1.38% → 26/07: 1.38%,デリバティブ業務にかかる保有,A:賛成率低下 + C:会社提案否決,2,4.49,4,26/06: 5.35% → 26/07: 4.49%
3661,株式会社エムアップホールディングス,フィデリティ　マネジメント　アンド　リサーチ　カンパニー　エルエルシー (Fidelity Management & Research Company LLC),1.22,26/06: 3.10% → 26/06: 1.22%,当該有価証券は、グループの資産運用および管理機能に関連して保有されているものです。,A:賛成率低下 + C:会社提案否決,2,2.15,2,26/06: 5.07% → 26/06: 2.15%
3661,株式会社エムアップホールディングス,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,1.07,24/08: 2.07% → 24/12: 1.07%,証券業務に係わる商品在庫として保有している。,A:賛成率低下 + C:会社提案否決,2,4.17,2,24/08: 5.18% → 24/12: 4.17%
3661,株式会社エムアップホールディングス,エフエムアール　インベストメント　マネジメント　ユーケー　リミテッド (FMR Investment Management (UK) Limited),0.93,26/06: 1.30% → 26/06: 0.93%,当社は自己の投資目的で有価証券を保有していません。記録上の有価証券は関連会社の事務・運営目的のためであり、投資目的ではありません。,A:賛成率低下 + C:会社提案否決,2,2.15,2,26/06: 5.07% → 26/06: 2.15%
3661,株式会社エムアップホールディングス,モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー(Morgan Stanley & Co. International plc),0.73,26/06: 0.88% → 26/07: 0.73%,証券業務等にかかる保有,A:賛成率低下 + C:会社提案否決,2,4.49,4,26/06: 5.35% → 26/07: 4.49%
3661,株式会社エムアップホールディングス,フィデリティ・マネジメント・アンド・リサーチ・ジャパン株式会社,0.68,26/06: 0.68%,当社は自己の投資目的で有価証券を保有していません。記録上の有価証券は関連会社の事務・運営目的のためであり、投資目的ではありません。,A:賛成率低下 + C:会社提案否決,1,5.07,3,26/06: 5.07%
3661,株式会社エムアップホールディングス,ジェー・ピー・モルガン・セキュリティーズ・エルエルシー　（J.P. Morgan Securities LLC),0.12,26/04: 0.40% → 26/05: 0.12%,有価証券関連業務の一部としてのトレーディング等を目的として保有している。,A:賛成率低下 + C:会社提案否決,2,3.68,3,26/04: 5.11% → 26/05: 3.68%
3661,株式会社エムアップホールディングス,モルガン・スタンレー・アンド・カンパニー・エルエルシー(Morgan Stanley & Co. LLC),0.05,26/06: 0.05% → 26/07: 0.05%,証券業務等にかかる保有,A:賛成率低下 + C:会社提案否決,2,4.49,4,26/06: 5.35% → 26/07: 4.49%
3661,株式会社エムアップホールディングス,ジェー・ピー・モルガン・セキュリティーズ・ピーエルシー (J.P. Morgan Securities plc),0.01,26/04: 0.12% → 26/05: 0.01%,証券業務及び銀行業等の為に保有をしている。,A:賛成率低下 + C:会社提案否決,2,3.68,3,26/04: 5.11% → 26/05: 3.68%
3678,株式会社メディアドゥ,藤田　恭嗣,16.31,24/01: 16.31% → 24/01: 16.31%,発行会社の創業者かつ代表取締役社長であり、安定株主として長期保有するためであります。,A:賛成率低下,2,27.76,2,24/01: 27.76% → 24/01: 27.76%
3678,株式会社メディアドゥ,株式会社ＦＩＢＣ,11.44,24/01: 11.44% → 24/01: 11.44%,株式会社ＦＩＢＣは発行会社の代表取締役が出資する資産管理会社であり、安定株主として長期保有することを目的としております。,A:賛成率低下,2,27.76,2,24/01: 27.76% → 24/01: 27.76%
3678,株式会社メディアドゥ,光通信株式会社,8.42,24/03: 5.03% → 24/04: 6.10% → 24/04: 7.19% → 24/05: 7.58% → 24/07: 7.56% → 24/08: 7.56% → 24/08: 7.56% → 24/12: 7.56% → 25/04: 7.56% → 25/07: 7.54% → 25/09: 7.54% → 25/09: 7.54% → 25/10: 7.54% → 25/11: 7.54% → 25/12: 7.64% → 26/04: 8.42%,純投資,A:賛成率低下,16,19.27,4,24/03: 5.03% → 24/04: 6.10% → 24/04: 7.19% → 24/05: 8.36% → 24/07: 9.71% → 24/08: 10.74% → 24/08: 11.77% → 24/12: 12.84% → 25/04: 13.98% → 25/07: 15.00% → 25/09: 16.08% → 25/09: 16.26% → 25/10: 17.44% → 25/11: 18.48% → 25/12: 19.51% → 26/04: 19.27%
3678,株式会社メディアドゥ,株式会社ＵＨ　Ｐａｒｔｎｅｒｓ　２,7.46,24/05: 0.78% → 24/07: 2.15% → 24/08: 3.18% → 24/08: 4.22% → 24/12: 5.28% → 25/04: 6.42% → 25/07: 7.46% → 25/09: 7.46% → 25/09: 7.46% → 25/10: 7.46% → 25/11: 7.46% → 25/12: 7.46% → 26/04: 7.46%,純投資,A:賛成率低下,13,19.27,4,24/05: 8.36% → 24/07: 9.71% → 24/08: 10.74% → 24/08: 11.77% → 24/12: 12.84% → 25/04: 13.98% → 25/07: 15.00% → 25/09: 16.08% → 25/09: 16.26% → 25/10: 17.44% → 25/11: 18.48% → 25/12: 19.51% → 26/04: 19.27%
3678,株式会社メディアドゥ,株式会社ＵＨ　Ｐａｒｔｎｅｒｓ　３,3.16,25/09: 1.08% → 25/09: 1.26% → 25/10: 2.21% → 25/11: 3.25% → 25/12: 4.19% → 26/04: 3.16%,純投資,A:賛成率低下,6,19.27,4,25/09: 16.08% → 25/09: 16.26% → 25/10: 17.44% → 25/11: 18.48% → 25/12: 19.51% → 26/04: 19.27%
3678,株式会社メディアドゥ,株式会社ＵＨ５,0.23,25/10: 0.23% → 25/11: 0.23% → 25/12: 0.23% → 26/04: 0.23%,純投資,A:賛成率低下,4,19.27,4,25/10: 17.44% → 25/11: 18.48% → 25/12: 19.51% → 26/04: 19.27%
3778,さくらインターネット株式会社,双日株式会社,25.27,24/06: 28.14% → 26/03: 14.24% → 26/03: 25.27%,双日グループとの取引安定目的,A:賛成率低下,3,25.27,1,24/06: 28.14% → 26/03: 14.24% → 26/03: 25.27%
3778,さくらインターネット株式会社,株式会社田中邦裕事務所,10.72,24/06: 11.93% → 24/06: 11.93% → 26/08: 10.72%,発行会社の代表取締役の資産管理会社として、経営安定のため、長期保有を目的としております。,A:賛成率低下,3,13.38,3,24/06: 14.72% → 24/06: 14.89% → 26/08: 13.38%
3778,さくらインターネット株式会社,田中邦裕,2.57,24/06: 2.85% → 24/06: 2.68% → 26/08: 2.57%,発行会社の創業者であり、経営参加を目的とした安定株主として保有しております。,A:賛成率低下,3,13.38,3,24/06: 14.89% → 24/06: 14.72% → 26/08: 13.38%
3778,さくらインターネット株式会社,野村證券株式会社,2.31,24/11: 3.05% → 24/11: 1.71% → 26/07: 1.83% → 26/07: 2.35% → 26/08: 2.31%,証券業務に係る商品在庫、及び累積投資業務の運営目的として保有している。,A:賛成率低下,5,5.45,3,24/11: 5.13% → 24/11: 3.95% → 26/07: 5.04% → 26/07: 5.11% → 26/08: 5.45%
3778,さくらインターネット株式会社,野村アセットマネジメント株式会社,2.09,24/11: 2.09% → 24/11: 2.09% → 26/07: 2.10% → 26/07: 2.09% → 26/08: 2.09%,信託財産の運用として保有している。,A:賛成率低下,5,5.45,3,24/11: 5.13% → 24/11: 3.95% → 26/07: 5.04% → 26/07: 5.11% → 26/08: 5.45%
3778,さくらインターネット株式会社,モルガン・スタンレーＭＵＦＧ証券株式会社,1.85,24/05: 2.03% → 24/05: 1.85%,証券業務等にかかる保有,A:賛成率低下,2,4.13,3,24/05: 5.35% → 24/05: 4.13%
3778,さくらインターネット株式会社,モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー(Morgan Stanley & Co. International plc),1.30,24/05: 2.32% → 24/05: 1.30%,証券業務等にかかる保有,A:賛成率低下,2,4.13,3,24/05: 5.35% → 24/05: 4.13%
3778,さくらインターネット株式会社,オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,1.16,25/11: 5.30% → 25/12: 6.46% → 26/02: 1.16%,当社の管理下にあるファンドの資産運用のための投資,A:賛成率低下,3,1.16,1,25/11: 5.30% → 25/12: 6.46% → 26/02: 1.16%
3778,さくらインターネット株式会社,ノムラ　インターナショナル　ピーエルシー（ＮＯＭＵＲＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＰＬＣ）,1.05,24/11: 0.15% → 26/07: 1.11% → 26/07: 0.67% → 26/08: 1.05%,証券業務に係わる商品在庫として保有している。,A:賛成率低下,4,5.45,3,24/11: 3.95% → 26/07: 5.04% → 26/07: 5.11% → 26/08: 5.45%
3778,さくらインターネット株式会社,モルガン・スタンレー・アンド・カンパニー・エルエルシー(Morgan Stanley & Co. LLC),0.97,24/05: 0.99% → 24/05: 0.97%,証券業務等にかかる保有,A:賛成率低下,2,4.13,3,24/05: 5.35% → 24/05: 4.13%
3778,さくらインターネット株式会社,株式会社　三井住友銀行,0.33,24/07: 0.33% → 24/08: 0.33%,借株（現金担保付株式貸借取引）による保有,A:賛成率低下,2,0.54,2,24/07: 8.12% → 24/08: 0.54%
3778,さくらインターネット株式会社,ＳＭＢＣ日興証券株式会社,0.22,24/07: 7.80% → 24/08: 0.22%,証券業務に係る一時保有のため,A:賛成率低下,2,0.54,2,24/07: 8.12% → 24/08: 0.54%
3778,さくらインターネット株式会社,田中紀美,0.10,24/06: 0.11% → 24/06: 0.11% → 26/08: 0.10%,発行会社の創業者 田中邦裕の配偶者であり、安定株主として保有しております。,A:賛成率低下,3,13.38,3,24/06: 14.89% → 24/06: 14.72% → 26/08: 13.38%
3803,イメージ情報開発株式会社,サイブリッジ合同会社,38.49,26/02: 38.49%,発行者の株式を保有し資本関係を構築した上で、両者が保有する事業基盤やテクノロジーを活かして事業シナジーを創出し、企業価値及び株主価値の最大化を図ること（発行者への役員の派遣その他状況に応じた重要提案行為等の実施を含みます。）,A:賛成率低下,1,38.49,1,26/02: 38.49%
3803,イメージ情報開発株式会社,株式会社イメージ企画,18.10,26/03: 18.10%,発行会社の創業者一族の資産管理,A:賛成率低下,1,18.10,1,26/03: 18.10%
3803,イメージ情報開発株式会社,株式会社ミヤマ代表取締役　須藤  信由,8.61,25/08: 8.61%,純投資,A:賛成率低下,1,8.61,1,25/08: 8.61%
3803,イメージ情報開発株式会社,株式会社ＮＢＩ,5.91,26/03: 5.91%,経営権の維持,A:賛成率低下,1,7.49,2,26/03: 7.49%
3803,イメージ情報開発株式会社,代永衛,5.31,25/08: 8.31% → 25/08: 7.57% → 25/08: 7.57% → 25/08: 7.19% → 25/08: 6.90% → 25/08: 6.90% → 25/09: 6.62% → 25/09: 5.91% → 25/10: 5.60% → 25/10: 5.60% → 25/10: 5.31%,純投資,A:賛成率低下,11,6.93,2,25/08: 15.77% → 25/08: 13.61% → 25/08: 13.61% → 25/08: 12.45% → 25/08: 11.39% → 25/08: 11.39% → 25/09: 10.38% → 25/09: 9.00% → 25/10: 7.96% → 25/10: 7.96% → 25/10: 6.93%
3803,イメージ情報開発株式会社,株式会社ミヤマ,4.81,24/01: 9.62% → 24/01: 9.62% → 25/08: 9.62% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 7.46% → 25/09: 4.81%,純投資,A:賛成率低下,16,4.81,1,24/01: 9.62% → 24/01: 9.62% → 25/08: 9.62% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 8.61% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 7.46% → 25/09: 4.81% → 25/09: 7.46% → 25/09: 4.81%
3803,イメージ情報開発株式会社,代永　英子,1.63,25/08: 7.46% → 25/08: 6.04% → 25/08: 6.04% → 25/08: 5.26% → 25/08: 4.49% → 25/08: 4.49% → 25/09: 3.77% → 25/09: 3.10% → 25/10: 2.36% → 25/10: 2.36% → 25/10: 1.63%,純投資,A:賛成率低下,11,6.93,2,25/08: 15.77% → 25/08: 13.61% → 25/08: 13.61% → 25/08: 12.45% → 25/08: 11.39% → 25/08: 11.39% → 25/09: 10.38% → 25/09: 9.00% → 25/10: 7.96% → 25/10: 7.96% → 25/10: 6.93%
3803,イメージ情報開発株式会社,代永拓史,1.57,26/03: 1.57%,経営権の維持,A:賛成率低下,1,7.49,2,26/03: 7.49%
3803,イメージ情報開発株式会社,中村　義巳,0.00,24/02: 0.00%,純投資,A:賛成率低下,1,0.00,1,24/02: 0.00%
3803,イメージ情報開発株式会社,株式会社ＪＢＦアドバイザリー,0.00,26/03: 4.81% → 26/03: 5.91% → 26/03: 21.70% → 26/03: 20.60% → 26/03: 18.61% → 26/03: 18.59% → 26/03: 20.63% → 26/03: 24.01% → 26/03: 22.65% → 26/03: 21.54% → 26/03: 20.43% → 26/03: 0.00% → 26/04: 21.54% → 26/04: 20.43% → 26/04: 20.63% → 26/04: 22.65% → 26/04: 21.54% → 26/04: 21.70% → 26/04: 24.01% → 26/04: 0.00% → 26/04: 18.59% → 26/04: 0.00%,純投資,A:賛成率低下,22,0.00,1,26/03: 4.81% → 26/03: 5.91% → 26/03: 21.70% → 26/03: 20.60% → 26/03: 18.61% → 26/03: 18.59% → 26/03: 20.63% → 26/03: 24.01% → 26/03: 22.65% → 26/03: 21.54% → 26/03: 20.43% → 26/03: 0.00% → 26/04: 21.54% → 26/04: 20.43% → 26/04: 20.63% → 26/04: 22.65% → 26/04: 21.54% → 26/04: 21.70% → 26/04: 24.01% → 26/04: 0.00% → 26/04: 18.59% → 26/04: 0.00%
3837,アドソル日進株式会社,エフエムアール エルエルシー（FMR LLC）,5.24,25/11: 5.24% → 26/06: 5.24%,顧客の財産を信託証書および契約等に基づき運用するために保有。しかしながら、当該保有証券の名義人は弊社ではなく、顧客の選択した銀行（カストディアンバンク）等になります。,C:会社提案否決,2,5.24,1,25/11: 5.24% → 26/06: 5.24%
3837,アドソル日進株式会社,東京海上アセットマネジメント株式会社,4.71,24/02: 5.79% → 24/04: 4.71%,純投資,C:会社提案否決,2,4.71,1,24/02: 5.79% → 24/04: 4.71%
3837,アドソル日進株式会社,エフアイエーエム　エルエルシー (FIAM LLC),2.21,26/06: 2.21%,当該有価証券は、当社の投資運用および資産管理機能に関連して保有されています。,C:会社提案否決,1,5.24,3,26/06: 5.24%
3837,アドソル日進株式会社,フィデリティ　マネジメント　アンド　リサーチ　カンパニー　エルエルシー (Fidelity Management & Research Company LLC),1.87,26/06: 1.87%,当該有価証券は、グループの資産運用および管理機能に関連して保有されているものです。,C:会社提案否決,1,5.24,3,26/06: 5.24%
3837,アドソル日進株式会社,フィデリティ・マネジメント・アンド・リサーチ・ジャパン株式会社,1.16,26/06: 1.16%,当社は自己の投資目的で有価証券を保有していません。記録上の有価証券は関連会社の事務・運営目的のためであり、投資目的ではありません。,C:会社提案否決,1,5.24,3,26/06: 5.24%
3837,アドソル日進株式会社,日本プロセス株式会社,0.00,25/02: 0.00%,,C:会社提案否決,1,0.00,1,25/02: 0.00%
3880,大王製紙株式会社,北越コーポレーション株式会社,18.10,24/07: 24.61% → 26/03: 18.10%,発行者との戦略的業務提携,A:賛成率低下 + C:会社提案否決,2,18.10,2,24/07: 24.61% → 26/03: 18.10%
3880,大王製紙株式会社,大王海運株式会社,6.60,26/06: 6.60%,政策投資,A:賛成率低下 + C:会社提案否決,1,6.60,1,26/06: 6.60%
3880,大王製紙株式会社,北越紙販売株式会社,0.01,24/07: 0.01% → 26/03: 0.01%,発行者との戦略的業務提携,A:賛成率低下 + C:会社提案否決,2,18.10,2,24/07: 24.61% → 26/03: 18.10%
3932,株式会社アカツキ,香田　哲朗,13.38,24/10: 13.38% → 24/10: 13.38% → 26/06: 13.38%,発行会社の取締役であり、安定株主として株式を保有しております。,A:賛成率低下,3,20.68,2,24/10: 20.69% → 24/10: 20.69% → 26/06: 20.68%
3932,株式会社アカツキ,株式会社Owl Age,7.58,24/10: 7.58% → 24/10: 7.58% → 26/06: 7.58%,発行会社の取締役の出資会社であり、安定株主として株式を保有しております。,A:賛成率低下,3,20.68,2,24/10: 20.69% → 24/10: 20.69% → 26/06: 20.68%
3932,株式会社アカツキ,株式会社サンクピア,6.85,24/03: 6.85% → 24/03: 6.85%,発行会社の創業者の出資会社であり、安定株主として株式を保有しております。,A:賛成率低下,2,9.88,2,24/03: 9.88% → 24/03: 9.88%
3932,株式会社アカツキ,"ブランデス・インベストメント・パートナーズ・エル・ピー(Brandes Investment Partners, L.P.)",5.22,26/02: 5.22%,投資目的による顧客に代理しての取得,A:賛成率低下,1,5.22,1,26/02: 5.22%
3932,株式会社アカツキ,塩田元規,3.07,24/03: 3.07% → 24/03: 3.07%,発行会社の創業者であり、安定株主として株式を保有しております。,A:賛成率低下,2,9.88,2,24/03: 9.88% → 24/03: 9.88%
3932,株式会社アカツキ,ソニーグループ株式会社,0.96,24/01: 9.87% → 26/05: 0.96%,発行者との資本業務提携を目的とした保有,A:賛成率低下,2,0.96,1,24/01: 9.87% → 26/05: 0.96%
3932,株式会社アカツキ,株式会社コーエーテクモホールディングス,0.00,24/01: 7.97% → 26/05: 0.00%,発行者との資本業務提携のため,A:賛成率低下,2,0.00,1,24/01: 7.97% → 26/05: 0.00%
3963,株式会社シンクロ・フード,アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),27.68,25/03: 5.18% → 25/04: 6.74% → 25/04: 8.52% → 25/04: 10.06% → 25/05: 11.31% → 25/05: 12.81% → 25/06: 14.13% → 25/06: 15.21% → 25/07: 16.28% → 25/09: 17.29% → 25/09: 18.42% → 25/10: 19.52% → 25/11: 20.52% → 25/12: 23.27% → 25/12: 25.67% → 25/12: 26.68% → 26/05: 27.68% → 26/05: 27.68%,提出者の保有目的は純投資であり、発行者の持続的な企業価値の向上に必要であると判断した場合には以下の重要提案行為等を行う可能性がある。・重要な財産の処分又は譲受け・代表取締役の選定若しくは解職又は執行役員の選任若しくは解任・特定の者の役員への選任・役員の構成の重要な変更・株式交換、株式移転、株式交付、会社の分割又は合併・その発行する有価証券の取引所金融商品市場における上場の廃止・事業の全部又は一部の譲渡、譲受け、休止又は廃止・配当に関する方針の重要な変更・資本政策に関する重要な変更 これら以外の重要提案行為等の具体的な内容、時期及び条件については未定である。,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,18,27.68,1,25/03: 5.18% → 25/04: 6.74% → 25/04: 8.52% → 25/04: 10.06% → 25/05: 11.31% → 25/05: 12.81% → 25/06: 14.13% → 25/06: 15.21% → 25/07: 16.28% → 25/09: 17.29% → 25/09: 18.42% → 25/10: 19.52% → 25/11: 20.52% → 25/12: 23.27% → 25/12: 25.67% → 25/12: 26.68% → 26/05: 27.68% → 26/05: 27.68%
3963,株式会社シンクロ・フード,リム・アドバイザーズ・リミテッド（ＬＩＭ　Ａｄｖｉｓｏｒｓ　Ｌｉｍｉｔｅｄ）,13.12,25/02: 6.04% → 25/02: 8.10% → 25/03: 9.99% → 25/03: 12.12% → 25/05: 13.48% → 26/05: 13.12% → 26/05: 13.12%,純投資及び重要提案行為等提出者は、2026年4月22日に、発行者の第23回定時株主総会につき、下記の事項を議題とする株主提案を行った。(1) 取締役2名選任の件細川健氏及び武藤竜弘氏を取締役に選任することを内容とする議案である。(2) 定款一部変更（取締役の員数の上限の増加）の件発行者の取締役の員数の上限を7名以内から9名以内に増加するように定款を変更することを内容とする議案である。(3) 定款一部変更（戦略検討委員会の設置）の件経営陣から独立した立場で株主共同の利益の最大化を図るためにとり得る戦略的選択肢について検討を行うこと等を職務とする戦略検討委員会を発行者に設置することを内容とする議案である。提出者は、2026年5月25日に、発行者に対して、社外取締役である松崎良太氏及び永井美保子氏の取締役退任を求めた。松崎良太氏及び永井美保子氏が取締役から退任しない場合、提出者は、発行者に対して、松崎良太氏及び永井美保子氏の取締役解任を内容とする議案を株主総会の目的事項とする臨時株主総会を招集請求する可能性がある。臨時株主総会の招集請求を行う具体的な時期は未定である。,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,7,13.12,1,25/02: 6.04% → 25/02: 8.10% → 25/03: 9.99% → 25/03: 12.12% → 25/05: 13.48% → 26/05: 13.12% → 26/05: 13.12%
3963,株式会社シンクロ・フード,"ブイアイエス・アドバイザーズ・エルピー（VIS Advisors,LP）",9.89,24/01: 6.14% → 24/02: 7.23% → 24/02: 7.23% → 24/04: 8.29% → 25/01: 9.94% → 25/01: 11.02% → 25/05: 9.84% → 25/05: 9.89%,純投資,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,8,9.89,1,24/01: 6.14% → 24/02: 7.23% → 24/02: 7.23% → 24/04: 8.29% → 25/01: 9.94% → 25/01: 11.02% → 25/05: 9.84% → 25/05: 9.89%
3963,株式会社シンクロ・フード,エイトクラウズ株式会社,9.27,24/12: 9.95% → 24/12: 10.04% → 24/12: 9.95% → 24/12: 10.04% → 25/01: 9.27% → 25/01: 9.27% → 25/01: 9.27%,発行会社の代表取締役の資産管理会社であり、安定株主として株式を保有しております。,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,7,15.71,2,24/12: 43.41% → 24/12: 43.78% → 24/12: 43.41% → 24/12: 43.78% → 25/01: 19.83% → 25/01: 19.83% → 25/01: 15.71%
3963,株式会社シンクロ・フード,藤代　真一,6.44,24/12: 33.46% → 24/12: 33.74% → 24/12: 33.74% → 24/12: 33.46% → 25/01: 10.56% → 25/01: 10.56% → 25/01: 6.44%,発行会社の創業者であり、安定株主として株式を保有しております。,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,7,15.71,2,24/12: 43.41% → 24/12: 43.78% → 24/12: 43.78% → 24/12: 43.41% → 25/01: 19.83% → 25/01: 19.83% → 25/01: 15.71%
3963,株式会社シンクロ・フード,"グランジャー・ピーク・グローバル・アドバイザーズ・エルエルシー(Grandeur Peak Global Advisors, LLC)",4.68,25/01: 4.68%,純投資,A:賛成率低下 + B:新規株主提案 + C:会社提案否決,1,4.68,1,25/01: 4.68%
4005,住友化学株式会社,三井住友トラスト・アセットマネジメント株式会社,3.15,24/02: 4.65% → 24/03: 4.39% → 24/03: 4.33% → 24/04: 4.61% → 24/08: 4.51% → 25/02: 3.43% → 25/09: 3.15%,投資信託契約、投資一任契約に基づく運用を目的として保有するもの。,A:賛成率低下 + C:会社提案否決,7,4.91,2,24/02: 6.31% → 24/03: 6.05% → 24/03: 5.99% → 24/04: 6.28% → 24/08: 6.20% → 25/02: 5.15% → 25/09: 4.91%
4005,住友化学株式会社,"ブラックロック・インスティテューショナル・トラスト・カンパニー、エヌ．エイ．(BlackRock Institutional Trust Company, N.A.)",2.00,24/03: 0.66% → 24/07: 1.20% → 24/08: 1.71% → 26/01: 1.87% → 26/02: 2.30% → 26/07: 2.00%,純投資（顧客および投資信託等の資産運用目的）,A:賛成率低下 + C:会社提案否決,6,7.69,12,24/03: 4.20% → 24/07: 5.14% → 24/08: 6.30% → 26/01: 7.53% → 26/02: 8.91% → 26/07: 7.69%
4005,住友化学株式会社,ブラックロック・ジャパン株式会社,1.85,24/03: 1.74% → 24/07: 1.65% → 24/08: 1.77% → 26/01: 1.96% → 26/02: 2.01% → 26/07: 1.85%,純投資（投資一任契約に基づく顧客の資産運用および投資信託約款に基づく資産運用目的）,A:賛成率低下 + C:会社提案否決,6,7.69,12,24/03: 4.20% → 24/07: 5.14% → 24/08: 6.30% → 26/01: 7.53% → 26/02: 8.91% → 26/07: 7.69%
4005,住友化学株式会社,アモーヴァ・アセットマネジメント株式会社,1.76,25/09: 1.76%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,1,4.91,2,25/09: 4.91%
4005,住友化学株式会社,日興アセットマネジメント株式会社,1.73,24/02: 1.66% → 24/03: 1.66% → 24/03: 1.66% → 24/04: 1.67% → 24/08: 1.69% → 25/02: 1.73%,証券投資信託及び投資一任契約において、株券等の取得・処分の権限を有するもの。,A:賛成率低下 + C:会社提案否決,6,5.15,2,24/02: 6.31% → 24/03: 6.05% → 24/03: 5.99% → 24/04: 6.28% → 24/08: 6.20% → 25/02: 5.15%
