証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
6035,株式会社アイ・アールジャパンホールディングス,なし,,,B:新規株主提案
6069,トレンダーズ株式会社,あり,5,いちよしアセットマネジメント株式会社(4.4%) / ベイビュー・アセット・マネジメント株式会社(4.3%) / 光通信株式会社(4.2%) / 岡本　伊久男(1.5%) / 株式会社アイスタイル(30.8%),A:賛成率低下
6103,オークマ株式会社,あり,4,三井住友信託銀行株式会社(1.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.0%) / 野村アセットマネジメント株式会社(0.2%) / 野村證券株式会社(1.1%),A:賛成率低下
6135,株式会社　牧野フライス製作所,あり,7,アセットマネジメントＯｎｅ株式会社(3.1%) / ゴールドマン・サックス・インターナショナル(4.6%) / ゴールドマン・サックス証券株式会社(0.1%) / ユービーエス・エイ・ジー（銀行）(3.5%) / 三井住友トラスト・アセットマネジメント株式会社(2.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.8%) / 野村證券株式会社(0.5%),B:新規株主提案
6142,富士精工株式会社,あり,2,森　誠(3.7%) / Ｃ．Ｉ．Ｆ．ＨＯＬＤＩＮＧ株式会社(0.0%),A:賛成率低下 + C:会社提案否決
6145,ＮＩＴＴＯＫＵ株式会社,あり,7,みずほ信託銀行株式会社(0.6%) / みずほ証券株式会社(0.0%) / シュローダー・インベストメント・マネジメント株式会社(2.1%) / スパークス・アセット・マネジメント株式会社(3.4%) / ベイリー・ギフォード・アンド・カンパニー(3.9%) / 株式会社シティインデックスイレブンス(0.0%) / ＳＭＣ株式会社(4.6%),A:賛成率低下
6155,高松機械工業株式会社,あり,3,井上　英一郎(10.4%) / 株式会社タカマツ(8.7%) / 髙松　喜与志(1.7%),A:賛成率低下
6178,日本郵政株式会社,あり,1,財務大臣(35.9%),A:賛成率低下
6203,豊和工業株式会社,あり,3,モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー(6.6%) / モルガン・スタンレーＭＵＦＧ証券株式会社(0.8%) / ｆｕｎｄｎｏｔｅ株式会社(0.0%),A:賛成率低下
6237,株式会社イワキ,あり,3,ダルトン　インベストメンツ　インク(6.6%) / ダルトン・インベストメンツ・エルエルシー(0.0%) / Ｃｈａｒｏｎ　Ｆｉｎａｎｃｅ　ＧｍｂＨ(14.7%),A:賛成率低下 + C:会社提案否決
6238,フリュー株式会社,あり,4,三嶋　隆(0.7%) / 光通信株式会社(4.0%) / 田坂　吉朗(3.0%) / 野村證券株式会社(1.2%),A:賛成率低下
6254,野村マイクロ・サイエンス株式会社,あり,1,野村證券株式会社(2.2%),A:賛成率低下
6262,株式会社ＰＥＧＡＳＵＳ,あり,3,株式会社ポートフォリア(3.0%) / Ｂｅ　Ｂｒａｖｅ株式会社(12.9%) / ＳＭＢＣ日興証券株式会社(0.1%),A:賛成率低下
6333,株式会社ＴＥＩＫＯＫＵ,あり,8,ユナイテッド・マネージャーズ・ジャパン株式会社(0.0%) / 三井住友ＤＳアセットマネジメント株式会社(2.7%) / 三菱電機モビリティ株式会社(0.0%) / 三菱電機株式会社(0.0%) / 株式会社ヴァレックス・パートナーズ(18.4%) / ＦＭＲ　ＬＬＣ(7.4%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(4.5%) / ＳＭＢＣ日興証券株式会社(0.1%),A:賛成率低下 + C:会社提案否決
6335,株式会社東京機械製作所,あり,2,大田　昭彦(10.3%) / 株式会社シンシア工務店(3.6%),A:賛成率低下
6345,株式会社アイチコーポレーション,あり,2,伊藤忠商事株式会社(32.9%) / 株式会社豊田自動織機(18.5%),A:賛成率低下 + C:会社提案否決
6349,株式会社小森コーポレーション,あり,2,ブランデス・インベストメント・パートナーズ・エル・ピー(7.8%) / 株式会社みずほ銀行(1.9%),A:賛成率低下
6363,株式会社酉島製作所,あり,3,いちよしアセットマネジメント株式会社(4.1%) / 三井住友ＤＳアセットマネジメント株式会社(1.8%) / 野村證券株式会社(0.1%),A:賛成率低下
6368,オルガノ株式会社,なし,,,A:賛成率低下
6402,兼松エンジニアリング株式会社,あり,1,三谷　公男(5.7%),A:賛成率低下
6418,日本金銭機械株式会社,あり,1,上東　宏一郎(4.1%),A:賛成率低下
6463,ＴＰＲ株式会社,あり,2,シュローダー・インベストメント・マネジメント株式会社(4.1%) / 三井住友ＤＳアセットマネジメント株式会社(3.0%),A:賛成率低下
6470,大豊工業株式会社,あり,1,ｆｕｎｄｎｏｔｅ株式会社(10.8%),A:賛成率低下
6485,前澤給装工業株式会社,あり,1,前澤工業株式会社(5.8%),A:賛成率低下
6507,シンフォニアテクノロジー株式会社,あり,5,キャピタル・リサーチ・アンド・マネージメント・カンパニー(5.8%) / 三井住友信託銀行株式会社(0.8%) / 三井住友ＤＳアセットマネジメント株式会社(4.6%) / 野村アセットマネジメント株式会社(0.0%) / 野村證券株式会社(0.4%),A:賛成率低下
6513,株式会社オリジン,あり,2,株式会社みずほ銀行(3.9%) / ＢＲＯＯＫＬＡＮＤＳ　ＦＵＮＤ　ＭＡＮＡＧＥＭＥＮＴ　ＬＩＭＩＴＥＤ(5.1%),A:賛成率低下 + C:会社提案否決
6517,デンヨー株式会社,あり,1,シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド(13.7%),A:賛成率低下 + C:会社提案否決
6532,株式会社ベイカレント,あり,12,キャピタル・リサーチ・アンド・マネージメント・カンパニー(2.8%) / ブラックロック・ジャパン株式会社(2.5%) / ラザード・アセット・マネージメント・エルエルシー(4.0%) / 三井住友トラスト・アセットマネジメント株式会社(2.8%) / 大和アセットマネジメント株式会社(4.5%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.7%) / 江口　新(6.0%) / 野村證券株式会社(0.2%) / ＦＭＲ　ＬＬＣ(3.6%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(2.8%) / ＪＰモルガン証券株式会社(0.2%) / Ｍａｗｅｒ　Ｉｎｖｅｓｔｍｅｎｔ　Ｍａｎａｇｅｍｅｎｔ　Ｌｔｄ．(3.8%),A:賛成率低下
6562,株式会社ジーニー,あり,3,ソフトバンク株式会社(0.0%) / 工藤智昭(23.6%) / 株式会社みずほ銀行(35.6%),A:賛成率低下
6564,株式会社ミダックホールディングス,あり,1,キャピタル・リサーチ・アンド・マネージメント・カンパニー(3.3%),A:賛成率低下
6574,株式会社コンヴァノ,あり,5,川口　佑(5.0%) / 株式会社ディメンショナル(9.3%) / 株式会社メディカルフロンティア(1.7%) / 株式会社ＮＴ(72.3%) / 青木　剛志(0.0%),C:会社提案否決
6614,株式会社シキノハイテック,なし,,,A:賛成率低下
6616,トレックス・セミコンダクター株式会社,あり,3,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）(11.2%) / ベイリー・ギフォード・アンド・カンパニー(4.5%) / 株式会社ＳＢＩ証券(3.1%),C:会社提案否決
6645,オムロン株式会社,あり,5,ブラックロック・ジャパン株式会社(2.2%) / 三井住友トラスト・アセットマネジメント株式会社(2.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.0%) / 野村アセットマネジメント株式会社(0.0%) / 野村證券株式会社(0.6%),A:賛成率低下
6727,株式会社ワコム,あり,5,アセット・バリュー・インベスターズ・リミテッド(14.8%) / インベスコ・アセット・マネジメント株式会社(3.9%) / カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）(5.1%) / ベイリー・ギフォード・アンド・カンパニー(3.4%) / 三井住友トラスト・アセットマネジメント株式会社(2.7%),A:賛成率低下 + C:会社提案否決
6743,大同信号株式会社,あり,3,日本電設工業株式会社(13.3%) / 有限会社光パワー(3.3%) / 株式会社みずほ銀行(3.8%),C:会社提案否決
6750,エレコム株式会社,あり,1,葉田　順治(19.0%),A:賛成率低下
6763,帝国通信工業株式会社,あり,4,株式会社みずほ銀行(4.8%) / 重田　光時(0.0%) / ＧＬＯＢＡＬ　ＭＡＮＡＧＥＭＥＮＴ　ＰＡＲＴＮＥＲＳ　ＬＩＭＩＴＥＤ(0.0%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(5.0%),B:新規株主提案
6820,アイコム株式会社,あり,2,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）(5.0%) / 光通信株式会社(4.6%),A:賛成率低下
6867,リーダー電子株式会社,あり,4,アイ・オー・キャピタル株式会社(18.8%) / 大松正明(0.0%) / 後藤明子(0.0%) / Ａｎｃｈｏｒ　Ｃａｐｉｔａｌ　Ｇｒｏｕｐ株式会社(0.0%),A:賛成率低下
6908,イリソ電子工業株式会社,あり,6,アセットマネジメントＯｎｅ株式会社(4.2%) / シュローダー・インベストメント・マネジメント株式会社(3.0%) / 三井住友トラスト・アセットマネジメント株式会社(2.9%) / 株式会社みずほ銀行(0.3%) / 株式会社シティインデックスイレブンス(0.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.7%),A:賛成率低下
6963,ローム株式会社,あり,3,ブラックロック・ジャパン株式会社(1.7%) / 三井住友トラスト・アセットマネジメント株式会社(1.8%) / 野村證券株式会社(2.4%),A:賛成率低下
6971,京セラ株式会社,あり,3,三井住友トラスト・アセットマネジメント株式会社(2.4%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.2%) / 野村證券株式会社(0.3%),A:賛成率低下 + C:会社提案否決
6986,双葉電子工業株式会社,あり,2,ブランデス・インベストメント・パートナーズ・エル・ピー(8.8%) / 公益財団法人双葉電子記念財団(7.7%),A:賛成率低下
6989,北陸電気工業株式会社,あり,2,株式会社フェローテック(11.8%) / 株式会社フェローテックホールディングス(8.7%),A:賛成率低下
7014,株式会社名村造船所,あり,7,ゴールドマン・サックス証券株式会社(-0.0%) / バークレイズ・キャピタル・セキュリティーズ・リミテッド(4.7%) / 日本製鉄株式会社(4.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(3.2%) / 野村アセットマネジメント株式会社(0.6%) / 野村證券株式会社(0.0%) / ＪＰモルガン・アセット・マネジメント株式会社(1.8%),A:賛成率低下
7042,株式会社アクセスグループ・ホールディングス,あり,4,木村　勇也(11.1%) / 木村　春樹(8.9%) / 株式会社プロネクサス(16.4%) / 株式会社ＲＲ・ＤＤ(9.9%),A:賛成率低下 + B:新規株主提案
7047,ポート株式会社,あり,4,三井住友ＤＳアセットマネジメント株式会社(5.0%) / 丸山　侑佑(4.8%) / 春日　博文(32.9%) / 株式会社三井住友銀行(0.0%),A:賛成率低下
7157,ライフネット生命保険株式会社,あり,5,ありあけキャピタル株式会社(7.4%) / エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(21.1%) / 三井住友ＤＳアセットマネジメント株式会社(0.7%) / 日本航空株式会社(18.3%) / ａｕフィナンシャルホールディングス株式会社(0.0%),A:賛成率低下
7162,アストマックス株式会社,あり,3,ヒューリックプロパティソリューション株式会社(17.9%) / 有限会社　啓尚企画(8.9%) / 株式会社大和証券グループ本社(0.0%),A:賛成率低下 + C:会社提案否決
7201,日産自動車株式会社,あり,1,ルノー(35.7%),A:賛成率低下 + C:会社提案否決
7220,武蔵精密工業株式会社,あり,8,グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(4.1%) / シュローダー・インベストメント・マネジメント株式会社(3.5%) / モルガン・スタンレーＭＵＦＧ証券株式会社(0.2%) / 三井住友トラスト・アセットマネジメント株式会社(1.7%) / 三井住友ＤＳアセットマネジメント株式会社(3.9%) / 大塚　浩史(2.3%) / 本田技研工業株式会社(28.1%) / 野村證券株式会社(0.1%),A:賛成率低下
7222,日産車体株式会社,あり,1,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(29.7%),B:新規株主提案
7224,新明和工業株式会社,あり,2,アセットマネジメントＯｎｅ株式会社(4.3%) / 野村證券株式会社(0.5%),A:賛成率低下
7226,極東開発工業株式会社,あり,2,株式会社ストラテジックキャピタル(5.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.8%),A:賛成率低下
7254,株式会社ユニバンス,あり,2,鈴木　一和雄(9.6%) / Ｂｅ　Ｂｒａｖｅ株式会社(6.1%),A:賛成率低下
7292,株式会社村上開明堂,あり,1,ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(5.9%),B:新規株主提案
7318,セレンディップ・ホールディングス株式会社,あり,1,諸戸グループマネジメント株式会社(9.5%),A:賛成率低下
7384,株式会社プロクレアホールディングス,あり,2,三井住友トラスト・アセットマネジメント株式会社(2.1%) / 野村證券株式会社(1.2%),A:賛成率低下
7414,小野建株式会社,あり,2,オーエヌトラスト株式会社(10.8%) / 三井住友ＤＳアセットマネジメント株式会社(4.2%),A:賛成率低下
7438,コンドーテック株式会社,あり,5,タドラナ・マネジメント・ウンド・アセット・ゲーエムベーハー(6.0%) / 有限会社藤和興産(10.3%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.9%) / ＦＭＲ　ＬＬＣ(9.7%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(8.6%),A:賛成率低下
7459,株式会社メディパルホールディングス,あり,1,シルチェスター・インターナショナル・インベスターズ・エルエルピー(11.7%),A:賛成率低下
7477,ムラキ株式会社,あり,7,合同会社ＣＹＧＮＵＳ(0.0%) / 宮治　友博(6.6%) / 早馬　義光(0.0%) / 株式会社イクヨ(17.0%) / 株式会社マネジメント・サーベイ(6.0%) / 芙蓉土地建物株式会社(0.0%) / Ｂｌｕｅ　Ｇｏａｔｓ　Ｃａｐｉｔａｌ株式会社(5.0%),A:賛成率低下
7486,サンリン株式会社,あり,1,株式会社八十二銀行(4.7%),C:会社提案否決
7567,株式会社栄電子,あり,1,ウルトラテクノロジー株式会社(2.0%),A:賛成率低下
7593,ＶＴホールディングス株式会社,あり,2,三井住友海上火災保険株式会社(0.0%) / 高橋　一穗(2.9%),A:賛成率低下
7608,株式会社エスケイジャパン,なし,,,A:賛成率低下
7610,株式会社テイツー,あり,1,新沼　吾史(7.1%),A:賛成率低下
7634,株式会社星医療酸器,あり,2,光通信株式会社(7.2%) / ＦＭＲ　ＬＬＣ(1.2%),A:賛成率低下
7638,株式会社ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,あり,1,白石　幸生(20.0%),A:賛成率低下
7677,株式会社ヤシマキザイ,あり,2,佐藤　厚(7.0%) / ＧＬＯＢＡＬ　ＭＡＮＡＧＥＭＥＮＴ　ＰＡＲＴＮＥＲＳ　ＬＩＭＩＴＥＤ(26.9%),A:賛成率低下
7702,株式会社ジェイ・エム・エス（称号　株式会社　ＪＭＳ）,なし,,,C:会社提案否決
7731,株式会社ニコン,あり,8,エシロールルックスオティカ(19.6%) / シルチェスター・インターナショナル・インベスターズ・エルエルピー(7.1%) / 三井住友トラスト・アセットマネジメント株式会社(2.1%) / 三井住友信託銀行株式会社(0.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.5%) / 野村アセットマネジメント株式会社(0.1%) / 野村證券株式会社(0.1%) / Ｍ＆Ｇインベストメント・マネジメント・リミテッド(4.2%),A:賛成率低下
7734,理研計器株式会社,あり,5,キャピタル・リサーチ・アンド・マネージメント・カンパニー(6.8%) / フィデリティ投信株式会社(4.6%) / フォレスト・マナー・エヌ・ヴイ(4.5%) / 三井住友ＤＳアセットマネジメント株式会社(5.1%) / 株式会社みずほ銀行(3.8%),A:賛成率低下
7745,株式会社Ａ＆Ｄホロンホールディングス,あり,7,りそなアセットマネジメント株式会社(4.1%) / キャピタル・リサーチ・アンド・マネージメント・カンパニー(2.9%) / フィデリティ投信株式会社(3.5%) / 三井住友トラスト・アセットマネジメント株式会社(3.4%) / 株式会社ストラテジックキャピタル(15.0%) / 野村アセットマネジメント株式会社(0.0%) / 野村證券株式会社(0.0%),A:賛成率低下
7752,株式会社リコー,あり,5,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(24.8%) / ブラックロック・ジャパン株式会社(1.5%) / 三井住友信託銀行株式会社(0.4%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.8%) / 野村證券株式会社(0.4%),A:賛成率低下
7820,ニホンフラッシュ株式会社,あり,2,ＦＭＲ　ＬＬＣ(10.0%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(6.8%),A:賛成率低下
7844,株式会社マーベラス,なし,,,A:賛成率低下 + C:会社提案否決
7857,セキ株式会社,なし,,,B:新規株主提案
7867,株式会社タカラトミー,あり,2,アセットマネジメントＯｎｅ株式会社(4.5%) / 司不動産株式会社(7.0%),A:賛成率低下
7893,株式会社プロネクサス,あり,3,上野　守生(11.7%) / ＦＭＲ　ＬＬＣ(5.5%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(5.3%),A:賛成率低下
7912,大日本印刷株式会社,あり,5,ブラックロック・ジャパン株式会社(1.9%) / 三井住友トラスト・アセットマネジメント株式会社(2.5%) / 株式会社みずほ銀行(2.8%) / 野村アセットマネジメント株式会社(0.1%) / 野村證券株式会社(0.0%),A:賛成率低下
7970,信越ポリマー株式会社,なし,,,B:新規株主提案
7981,タカラスタンダード株式会社,なし,,,A:賛成率低下
7988,株式会社ニフコ,あり,4,インベスコ・アセット・マネジメント株式会社(4.7%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.3%) / 野村アセットマネジメント株式会社(0.1%) / 野村證券株式会社(1.1%),A:賛成率低下
7995,株式会社バルカー,あり,3,グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(8.4%) / 三井住友信託銀行株式会社(2.1%) / 三井住友ＤＳアセットマネジメント株式会社(3.4%),A:賛成率低下
8011,株式会社三陽商会,あり,5,アセット・バリュー・インベスターズ・リミテッド(13.1%) / 八木通商株式会社(11.6%) / 野村アセットマネジメント株式会社(0.8%) / 野村證券株式会社(0.0%) / Ｓａｐｐｈｉｒｅｔｅｒｒａ　Ｃａｐｉｔａｌ，　ＬＬＣ(8.1%),A:賛成率低下 + B:新規株主提案
8018,三共生興株式会社,あり,1,株式会社三菱ＵＦＪフィナンシャル・グループ(3.0%),A:賛成率低下
8020,兼松株式会社,あり,3,ブラックロック・ジャパン株式会社(2.6%) / 三井住友信託銀行株式会社(0.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.0%),A:賛成率低下
8025,株式会社ツカモトコーポレーション,あり,2,フリージア・マクロス株式会社(17.3%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(4.2%),A:賛成率低下
8031,三井物産株式会社,あり,2,三井住友信託銀行株式会社(0.2%) / Ｎａｔｉｏｎａｌ　Ｉｎｄｅｍｎｉｔｙ　Ｃｏｍｐａｎｙ(10.8%),C:会社提案否決
8070,東京産業株式会社,あり,3,シンプレクス・アセット・マネジメント株式会社(0.0%) / 光通信株式会社(7.2%) / 西華産業株式会社(11.6%),A:賛成率低下
8086,ニプロ株式会社,あり,4,ゴールドマン・サックス証券株式会社(0.2%) / 日本電気硝子株式会社(5.0%) / 株式会社みずほ銀行(0.3%) / 野村證券株式会社(4.7%),A:賛成率低下
8088,岩谷産業株式会社,あり,3,ノルウェー銀行(4.6%) / 三井住友トラスト・アセットマネジメント株式会社(2.3%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(2.3%),A:賛成率低下
8118,株式会社　キング,あり,1,ＬＮＳ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ．　Ｌｔｄ．(5.0%),A:賛成率低下 + C:会社提案否決
8129,東邦ホールディングス株式会社,あり,2,野村證券株式会社(0.4%) / ３Ｄ　Ｉｎｖｅｓｔｍｅｎｔ　Ｐａｒｔｎｅｒｓ　Ｐｔｅ．　Ｌｔｄ．(21.2%),A:賛成率低下
8133,伊藤忠エネクス株式会社,あり,1,伊藤忠商事株式会社(53.2%),A:賛成率低下
8136,株式会社サンリオ,あり,10,インベスコ・アセット・マネジメント株式会社(4.8%) / ゴールドマン・サックス証券株式会社(0.0%) / ブラックロック・ジャパン株式会社(1.4%) / モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー(0.7%) / モルガン・スタンレーＭＵＦＧ証券株式会社(0.1%) / 光南商事株式会社(2.9%) / 株式会社三井住友銀行(0.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.8%) / 清川商事株式会社(7.7%) / ＪＰモルガン・アセット・マネジメント株式会社(2.2%),A:賛成率低下
8154,加賀電子株式会社,あり,2,株式会社みずほ銀行(0.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.0%),A:賛成率低下
8173,株式会社Ｊｏｓｈｉｎ,あり,1,株式会社りそな銀行(2.9%),A:賛成率低下 + C:会社提案否決
8185,株式会社チヨダ,あり,2,いちごアセットマネジメント・インタ－ナショナル・ピ－ティ－イ－・リミテッド(19.2%) / 株式会社中央商事(8.4%),A:賛成率低下
8253,株式会社クレディセゾン,あり,4,ブラックロック・ジャパン株式会社(1.9%) / 三井住友トラスト・アセットマネジメント株式会社(1.9%) / 野村證券株式会社(0.1%) / Ｍ＆Ｇインベストメント・マネジメント・リミテッド(4.0%),A:賛成率低下
8255,アクシアル　リテイリング株式会社,あり,2,原　和彦(3.0%) / 植木　威行(1.1%),A:賛成率低下
8291,日産東京販売ホールディングス株式会社,あり,4,三井住友海上火災保険株式会社(2.2%) / 損害保険ジャパン株式会社(1.4%) / 東京海上日動火災保険株式会社(2.8%) / ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(4.8%),A:賛成率低下
8316,株式会社三井住友フィナンシャルグループ,あり,2,ブラックロック・ジャパン株式会社(2.2%) / 三井住友トラスト・アセットマネジメント株式会社(3.3%),C:会社提案否決
8358,スルガ銀行株式会社,あり,4,ありあけキャピタル株式会社(4.5%) / インダス・キャピタル・パートナーズ・エル・エル・シー(11.1%) / 三井住友信託銀行株式会社(0.0%) / 株式会社クレディセゾン(14.9%),C:会社提案否決
8411,株式会社みずほフィナンシャルグループ,あり,2,三井住友トラスト・アセットマネジメント株式会社(3.2%) / 野村證券株式会社(0.1%),A:賛成率低下
8473,ＳＢＩホールディングス株式会社,あり,7,ブラックロック・ジャパン株式会社(1.8%) / ベイリー・ギフォード・アンド・カンパニー(1.2%) / 三井住友トラスト・アセットマネジメント株式会社(2.6%) / 三井住友ＤＳアセットマネジメント株式会社(0.3%) / 日本電信電話株式会社(8.2%) / 株式会社三井住友フィナンシャルグループ(8.9%) / 野村證券株式会社(0.6%),A:賛成率低下
8542,株式会社トマト銀行,あり,3,三井住友信託銀行株式会社(1.6%) / 株式会社みずほ銀行(2.8%) / 預金保険機構(4.2%),A:賛成率低下 + C:会社提案否決
8559,株式会社豊和銀行,あり,1,株式会社　整理回収機構(7.8%),A:賛成率低下
8585,株式会社オリエントコーポレーション,あり,5,ムニノバホールディングス株式会社(15.0%) / 伊藤忠商事株式会社(4.5%) / 株式会社みずほ銀行(33.7%) / 株式会社ストラテジックキャピタル(12.8%) / 銀行等保有株式取得機構(4.4%),C:会社提案否決
8604,野村ホールディングス株式会社,あり,2,ブラックロック・ジャパン株式会社(2.2%) / 三井住友トラスト・アセットマネジメント株式会社(3.1%),C:会社提案否決
8613,丸三証券株式会社,あり,1,三井住友トラスト・アセットマネジメント株式会社(2.6%),A:賛成率低下
8616,東海東京フィナンシャル・ホールディングス株式会社,あり,2,三井住友信託銀行株式会社(1.9%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(4.0%),A:賛成率低下 + C:会社提案否決
8617,光世証券株式会社,あり,3,三井住友トラスト・アセットマネジメント株式会社(4.3%) / 巽　大介(5.7%) / 株式会社巽也蔵(20.0%),A:賛成率低下
8630,ＳＯＭＰＯホールディングス株式会社,あり,2,ノルウェー銀行(5.0%) / 三井住友トラスト・アセットマネジメント株式会社(2.9%),A:賛成率低下
8699,ＨＳホールディングス株式会社,あり,1,澤田　秀雄(2.2%),C:会社提案否決
8704,トレイダーズホールディングス株式会社,あり,2,三井住友ＤＳアセットマネジメント株式会社(5.4%) / 株式会社旭興産(2.7%),A:賛成率低下
8713,フィデアホールディングス株式会社,あり,1,三井住友トラスト・アセットマネジメント株式会社(2.6%),A:賛成率低下
8750,株式会社第一ライフグループ,あり,5,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(11.0%) / ブラックロック・ジャパン株式会社(2.0%) / 三井住友トラスト・アセットマネジメント株式会社(3.1%) / 株式会社みずほ銀行(1.5%) / 野村アセットマネジメント株式会社(5.0%),A:賛成率低下
8766,東京海上ホールディングス株式会社,あり,3,ブラックロック・ジャパン株式会社(2.1%) / 三井住友トラスト・アセットマネジメント株式会社(3.1%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.2%),A:賛成率低下
8818,京阪神ビルディング株式会社,あり,3,株式会社ストラテジックキャピタル(10.7%) / 株式会社三井住友銀行(4.3%) / ＳＭＢＣ日興証券株式会社(2.3%),B:新規株主提案
8871,株式会社ゴールドクレスト,あり,4,安川　秀俊(2.9%) / 株式会社ストラテジックキャピタル(16.3%) / ＦＭＲ　ＬＬＣ(3.9%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(3.9%),C:会社提案否決
8897,ＭＩＲＡＲＴＨホールディングス株式会社,あり,2,一般社団法人村山財産管理(21.2%) / 村山　義男(21.2%),C:会社提案否決
9020,東日本旅客鉄道株式会社,あり,3,ブラックロック・ジャパン株式会社(1.7%) / 株式会社みずほ銀行(2.8%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.7%),B:新規株主提案
9021,西日本旅客鉄道株式会社,あり,3,ブラックロック・ジャパン株式会社(1.8%) / 三井住友信託銀行株式会社(0.7%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.8%),B:新規株主提案
9045,京阪ホールディングス株式会社,あり,1,三井住友信託銀行株式会社(1.9%),A:賛成率低下
9064,ヤマトホールディングス株式会社,あり,5,ブラックロック・ジャパン株式会社(1.5%) / 三井住友トラスト・アセットマネジメント株式会社(2.7%) / 株式会社みずほ銀行(2.8%) / 野村アセットマネジメント株式会社(0.0%) / 野村證券株式会社(0.0%),A:賛成率低下
