証券コード,企業名,大量保有報告書,保有者数,保有者一覧,トリガー条件
2531,宝ホールディングス株式会社,あり,6,モルガン・スタンレーＭＵＦＧ証券株式会社(1.7%) / 三井住友信託銀行株式会社(1.4%) / 株式会社みずほ銀行(4.9%) / 農林中央金庫(3.9%) / 野村證券株式会社(0.8%) / ＶａｌｕｅＡｃｔ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ，　Ｌ．Ｐ．(0.0%),A:賛成率低下
2664,株式会社カワチ薬品,あり,1,カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）(5.0%),B:新規株主提案
2670,株式会社エービーシー・マート,あり,1,合同会社イーエム・プランニング(49.9%),A:賛成率低下
2685,株式会社アンドエスティＨＤ,あり,2,ウエリントン・マネージメント・カンパニー・エルエルピー(3.4%) / 三井住友トラスト・アセットマネジメント株式会社(1.4%),A:賛成率低下
2686,株式会社ジーフット,なし,,,A:賛成率低下
2730,株式会社エディオン,あり,2,株式会社三菱ＵＦＪフィナンシャル・グループ(1.0%) / 野村證券株式会社(1.5%),A:賛成率低下
2782,株式会社セリア,あり,3,スプラウスグローブインベストメントマネジメントリミテッド(4.8%) / 株式会社ヒロコーポレーション(13.9%) / 河合　宏光(0.0%),A:賛成率低下
2805,ヱスビー食品株式会社,あり,2,三井住友ＤＳアセットマネジメント株式会社(3.5%) / 山崎　由真子(2.9%),A:賛成率低下
2875,東洋水産株式会社,あり,3,マサチューセッツ・ファイナンシャル・サービセズ・カンパニー(6.4%) / 三井住友信託銀行株式会社(0.3%) / 野村アセットマネジメント株式会社(0.1%),A:賛成率低下 + B:新規株主提案
2908,フジッコ株式会社,あり,2,株式会社三菱ＵＦＪフィナンシャル・グループ(3.0%) / 福井　正一(0.0%),A:賛成率低下
3034,クオールホールディングス株式会社,あり,3,モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー(7.0%) / モルガン・スタンレーＭＵＦＧ証券株式会社(4.7%) / ＷＩＬＬ　ＦＩＥＬＤ　ＣＡＰＩＴＡＬ　ＰＴＥ　ＬＴＤ(17.7%),A:賛成率低下
3079,ディーブイエックス株式会社,あり,1,光通信株式会社(7.2%),C:会社提案否決
3106,倉敷紡績株式会社,あり,3,アセット・バリュー・インベスターズ・リミテッド(5.0%) / 三井住友信託銀行株式会社(1.7%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.9%),B:新規株主提案
3109,シキボウ株式会社,あり,1,野村證券株式会社(2.6%),A:賛成率低下
3183,ウイン・パートナーズ株式会社,あり,3,シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド(0.0%) / 秋沢　英海(2.9%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(7.9%),A:賛成率低下
3237,株式会社イントランス,あり,4,ディライトワークス株式会社(16.0%) / 合同会社インバウンドインベストメント(0.0%) / 和德投資有限公司(11.6%) / ＺＵＵ　Ｆｕｎｄｅｒｓ株式会社(33.3%),A:賛成率低下
331A,株式会社メディックス,あり,4,小谷中　一樹(6.4%) / 小谷中　茂樹(14.8%) / 水野　昌広(15.1%) / 田中　正則(7.0%),A:賛成率低下 + C:会社提案否決
3401,帝人株式会社,あり,7,イーストスプリング・インベストメンツ（シンガポール）リミテッド(4.0%) / エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）(19.3%) / ゴールドマン・サックス証券株式会社(0.4%) / 三井住友トラスト・アセットマネジメント株式会社(3.3%) / 日本生命保険相互会社(3.6%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(0.4%) / 野村アセットマネジメント株式会社(0.1%),A:賛成率低下
3409,株式会社北紡,あり,4,ミツワ樹脂工業株式会社(55.0%) / 松井証券株式会社(4.0%) / 株式会社スカイサルーントラベル(7.0%) / ＰＴ　ＡＳＩＡ　ＰＬＡＳＴＩＫ　ＶＩＫＴＯＲＩ(58.0%),C:会社提案否決
3569,セーレン株式会社,あり,6,三井住友トラスト・アセットマネジメント株式会社(2.4%) / 三井住友ＤＳアセットマネジメント株式会社(10.0%) / 株式会社みずほ銀行(0.0%) / 野村證券株式会社(0.5%) / Ｏａｓｉｓ　Ｍａｎａｇｅｍｅｎｔ　Ｃｏｍｐａｎｙ　Ｌｔｄ．(0.7%) / ＳＭＢＣ日興証券株式会社(0.8%),A:賛成率低下
3608,株式会社ＴＳＩホールディングス,あり,4,アセット・バリュー・インベスターズ・リミテッド(0.3%) / 三宅　孝彦(1.9%) / 株式会社みずほ銀行(4.6%) / 株式会社三井住友銀行(3.5%),A:賛成率低下
3635,株式会社コーエーテクモホールディングス,あり,5,みずほ証券株式会社(1.0%) / アヤル・ファースト・インベストメント・カンパニー(9.3%) / パブリック・インベストメント・ファンド(0.0%) / 柿原　健晴(0.2%) / 襟川　陽一(0.0%),A:賛成率低下
3661,株式会社エムアップホールディングス,あり,10,アセットマネジメントＯｎｅ株式会社(4.5%) / ニュートン・インベストメント・マネジメント・ジャパン株式会社(3.4%) / フィデリティ投信株式会社(2.0%) / モルガン・スタンレーＭＵＦＧ証券株式会社(2.3%) / 三井住友トラスト・アセットマネジメント株式会社(1.8%) / 美藤　宏一郎(12.0%) / 野村アセットマネジメント株式会社(1.1%) / ＦＭＲ　ＬＬＣ(2.1%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(1.2%) / ＪＰモルガン証券株式会社(3.5%),A:賛成率低下 + C:会社提案否決
3678,株式会社メディアドゥ,あり,2,光通信株式会社(8.4%) / 藤田　恭嗣(16.3%),A:賛成率低下
3778,さくらインターネット株式会社,あり,6,オービス・インベストメント・マネジメント・リミテッド(1.2%) / モルガン・スタンレーＭＵＦＧ証券株式会社(1.8%) / 双日株式会社(14.2%) / 田中邦裕(2.9%) / 野村證券株式会社(1.8%) / ＳＭＢＣ日興証券株式会社(0.2%),A:賛成率低下
3803,イメージ情報開発株式会社,あり,7,サイブリッジ合同会社(38.5%) / 中村　義巳(0.0%) / 代永衛(5.3%) / 株式会社イメージ企画(18.1%) / 株式会社ミヤマ(8.6%) / 株式会社ＪＢＦアドバイザリー(0.0%) / 株式会社ＮＢＩ(5.9%),A:賛成率低下
3837,アドソル日進株式会社,あり,4,日本プロセス株式会社(0.0%) / 東京海上アセットマネジメント株式会社(4.7%) / ＦＭＲ　ＬＬＣ(5.2%) / Ｆｉｄｅｌｉｔｙ　Ｍａｎａｇｅｍｅｎｔ　＆　Ｒｅｓｅａｒｃｈ　Ｃｏｍｐａｎｙ　ＬＬＣ(1.9%),C:会社提案否決
3880,大王製紙株式会社,あり,2,北越コーポレーション株式会社(18.1%) / 大王海運株式会社(6.6%),A:賛成率低下 + C:会社提案否決
3932,株式会社アカツキ,あり,5,ソニーグループ株式会社(1.0%) / ブランデス・インベストメント・パートナーズ・エル・ピー(5.2%) / 塩田元規(3.1%) / 株式会社コーエーテクモホールディングス(0.0%) / 香田哲朗(13.4%),A:賛成率低下
3963,株式会社シンクロ・フード,あり,5,アセット・バリュー・インベスターズ・リミテッド(27.7%) / グランジャー・ピーク・グローバル・アドバイザーズ・エルエルシー(4.7%) / 藤代　真一(6.4%) / ＬＩＭ　Ａｄｖｉｓｏｒｓ　Ｌｉｍｉｔｅｄ(13.1%) / ＶＩＳ　Ａｄｖｉｓｏｒｓ，ＬＰ(9.9%),A:賛成率低下 + B:新規株主提案 + C:会社提案否決
4005,住友化学株式会社,あり,3,ブラックロック・ジャパン株式会社(1.8%) / 三井住友トラスト・アセットマネジメント株式会社(3.1%) / 三井住友信託銀行株式会社(0.0%),A:賛成率低下 + C:会社提案否決
4023,株式会社クレハ,あり,5,モラント・ライト・マネジメント・リミテッド(4.0%) / レオス・キャピタルワークス株式会社(3.7%) / 明治安田生命保険相互会社(7.9%) / 株式会社みずほ銀行(3.0%) / 株式会社エスグラントコーポレーション(1.6%),A:賛成率低下
4027,テイカ株式会社,あり,5,光通信株式会社(3.2%) / 株式会社みずほ銀行(4.2%) / 株式会社ＤＯＥ５パーセント(1.2%) / 植島　幹九郎(3.8%) / ＳＡＭＡＲＡＮＧ　ＵＣＩＴＳ(4.4%),A:賛成率低下
4078,堺化学工業株式会社,あり,9,みずほ証券株式会社(0.3%) / シンプレクス・アセット・マネジメント株式会社(5.0%) / ゼナーアセットマネジメントエルエルピー(5.0%) / 三井住友トラスト・アセットマネジメント株式会社(3.0%) / 三井住友ＤＳアセットマネジメント株式会社(5.0%) / 株式会社三菱ＵＦＪフィナンシャル・グループ(1.2%) / 野村アセットマネジメント株式会社(0.2%) / 野村證券株式会社(0.1%) / ＳＨ　Ｉｎｖｅｓｔｍｅｎｔ，　Ｉｎｃ(13.7%),A:賛成率低下
4109,ステラケミファ株式会社,あり,1,ＮＩＰＰＯＮ　ＡＣＴＩＶＥ　ＶＡＬＵＥ　ＦＵＮＤ　ＰＬＣ(4.0%),A:賛成率低下 + C:会社提案否決
